notation,prefLabel
25.2,Sakraaliteologia
25.25,Sakramentit. Kirkolliset toimitukset
25.26,Kirkolliset esineet ja symbolit
25.3,Kristillinen opetus ja kasvatus
25.4,Sielunhoito
25.5,Diakonia. Sisälähetys. Evankelioiminen
26,KRISTILLINEN LÄHETYSTYÖ
26.1,"Kristillinen lähetystyö, Aasia"
26.2,"Kristillinen lähetystyö, Afrikka"
26.3,"Kristillinen lähetystyö, Amerikka"
26.5,"Kristillinen lähetystyö, Australia ja Oseania"
28,KRISTILLISET KIRKOT JA YHTEISÖT. KIRKKOHISTORIA
28.1,Roomalaiskatolinen kirkko
28.2,Ortodoksinen kirkko
28.4,Itämaiset kirkot
28.7,Protestanttiset kirkot ja yhteisöt
28.71,Suomen evankelis-luterilainen kirkko
28.7109,Suomen kirkkohistoria
28.714,Suomen herätysliikkeet
28.8,Muut kristillisperäiset yhteisöt
29,EI-KRISTILLISET USKONNOT JA MYTOLOGIAT
29.2,Suomalais-ugrilaisten kansojen muinaisuskonnot ja mytologiat
29.3,Antiikin uskonnot ja mytologiat
29.4,"Muinaisgermaaniset, muinaisbalttilaiset, muinais- pohjoismaiset, muinaisslaavilaiset ja muinaiskelttiläiset uskonnot ja mytologiat"
29.5,Itämaiset uskonnot ja mytologiat
29.51,Itä-Aasian uskonnot ja mytologiat
29.52,Intian uskonnot ja mytologiat
29.53,Buddhalaisuus ja sen mytologia
29.6,Juutalaisten uskonto ja sen mytologia
29.7,Islam ja sen mytologia
29.9,Alkuperäiskansojen uskonnot ja mytologiat
3,YHTEISKUNTA
30,YLEINEN YHTEISKUNTATIEDE
30.1,Sosiologia
30.11,Sosiaaliset järjestelmät
30.111,Yhteiskunnallinen futurologia
30.112,Organisaatiososiologia
30.114,Alueellinen sosiologia
30.12,Elämäntapojen sosiologia. Kulttuurisosiologia
30.13,Sosiaalipsykologia
30.15,Perhesosiologia
30.16,Kriminologia. Kriminaalisosiologia
30.7,Kansalaistoiminta ja –aktivismi. Järjestötoiminta. Kokoustekniikka.
30.8,Käytös- ja tapatieto
30.81,Juhlien järjestäminen
31,TILASTOTIEDE
31.3,Yleiset tilastot
31.32,Suomen yleiset tilastot
31.5,Väestötiede. Väestöpolitiikka
31.508,Väestötilastot
32,VALTIO-OPPI. POLITIIKKA
32.01,Valtiofilosofia. Poliittiset ideologiat
32.1,Poliittiset järjestelmät
32.18,Eri maiden poliittiset järjestelmät ja sisäpolitiikka
32.182,Suomen poliittinen järjestelmä ja sisäpolitiikka
32.1821,Suomen hallitusmuoto ja valtiosääntö
32.1826,Suomen valtiopäiväasiakirjat
32.1828,Suomen puolueet
32.2,Ihmisoikeudet. Kansalaisen asema yhteiskunnassa
32.21,Siirtolaiset. Pakolaiset
32.3,Naisen ja miehen asema yhteiskunnassa
32.4,Ikäryhmien asema yhteiskunnassa
32.5,Kansainvälinen politiikka
32.51,Euroopan unioni
32.52,Suomen ulkopolitiikka
32.6,Kansainvälinen yhteistyö
32.68,Kansainväliset järjestöt
32.7,Rauhankysymys. Rauhantutkimus
33,OIKEUSTIEDE
33.03,Oikeusoppaat
33.04,Laki- ja säädöskokoelmat. Oikeustapauskokoelmat
33.041,Komiteanmietinnöt
33.1,Kansainvälinen oikeus
33.2,Julkis- ja hallinto-oikeus
33.21,Valtiosääntöoikeus
33.22,Virkamiesoikeus
33.23,Asemakaava- ja rakentamislainsäädäntö
33.24,Sosiaalioikeus
33.25,Vero-oikeus
33.26,Kunnallisoikeus
33.27,Kirkko-oikeus
33.3,Siviili- ja kauppaoikeus
