notation,prefLabel
121.93,Hypnoosi. Suggestio
122,Kokeellinen psykologia. Psykometriikka
123,Psykologian suunnat
123.3,Behaviorismi
123.5,Syvyyspsykologia
124,Perinnöllisyyspsykologia
125,Typologia. Karakterologia
126,Differentiaalipsykologia. Persoonallisuuden psykologia
126.1,Ilmaisupsykologia
127,Lapsuuden ja nuoruuden psykologia
128,Muita psykologian aloja
128.2,Uskonto- ja maailmankatsomuspsykologia
128.3,Sosiaalipsykologia. Kulttuuripsykologia
128.32,Ihmissuhteiden psykologia
128.4,Kehityspsykologia. Eri ikäkausien psykologia
128.5,Naisen ja miehen psykologia
128.7,Fysiologinen psykologia
129,Sovellettu psykologia
130,LOGIIKKA
131,Lauselogiikka. Lausekalkyyli
135,Logistiikka. Looginen kalkyyli
140,TIETOTEORIA. TIETO-OPPI
148,Tietoteorian historia ja suunnat
150,TIEDEOPPI
151,Tieteenfilosofia. Metodologia
151.1,Tieteenfilosofia
151.2,Metodologia
152,Tiedepolitiikka. Tieteen sosiologia
159,Tieteenhistoria. Oppihistoria
160,ETIIKKA. ESTETIIKKA
162,Etiikka. Moraalifilosofia
166,Yleinen estetiikka
170,ELÄMÄNFILOSOFIA. KULTTUURIFILOSOFIA
171,Mietelausekokoelmat. Sitaattikokoelmat
172,Elämänfilosofia
175,Kulttuurifilosofia
180,KASVATUS. OPETUS. KASVATUSTIEDE
180.1,Kasvatusfilosofia. Kasvatustavoitteet
180.2,Kasvatuspsykologia
181,Käytännön kasvatus
181.2,Kokeellinen kasvatus
181.4,Kasvatusneuvonta. Kasvatusneuvolat
181.6,Perhe- ja kotikasvatus
181.7,Koulukasvatus. Koulupsykologia
181.8,Erityislahjakkaiden opetus
181.9,Erityisopetus. Erityiskasvatus. Erityiskoulut
181.91,"Luku-, kirjoitus- ja puhehäiriöiset"
181.92,Kuulovammaiset
181.93,Näkövammaiset
181.94,Liikuntavammaiset
181.95,Kehitysvammaiset
182,Opetusoppi
182.1,Filosofian ja psykologian opetusoppi
182.2,Uskonnon opetusoppi
182.3,Yhteiskuntatieteiden opetusoppi
182.4,Maantieteen ja kansatieteen opetusoppi
182.5,Matematiikan ja luonnontieteiden opetusoppi
182.6,Sovellettujen tieteiden opetusoppi
182.7,Taideaineiden opetusoppi
182.78,Musiikin opetusoppi
182.79,Liikunnan ja urheilun opetusoppi
182.8,Kirjallisuuden ja kielten opetusoppi
182.9,Historian opetusoppi
183,Koululaitos
183.1,Historialliset koulumuodot
183.2,Esikoulut
183.4,Peruskoulut
183.5,Lukiot
183.6,Keskiasteen koulutus
183.7,Seminaarit
183.8,Erikoiskoulut. Kokeilukoulut
183.9,Muiden maiden koululaitokset
184,Yliopistot ja korkeakoulut
184.1,Turun akatemia
184.2,Helsingin yliopisto
184.3,Turun yliopisto
184.4,Åbo akademi
184.5,Jyväskylän yliopisto
184.6,Oulun yliopisto
184.7,Tampereen yliopisto
184.8,Muut yliopistot ja korkeakoulut
184.81,Teknilliset korkeakoulut
184.82,Kauppakorkeakoulut
184.9,Muiden maiden yliopistot ja korkeakoulut
185,Aikuiskoulutus. Vapaa sivistystyö
185.1,"Kansalais-, kansan- ja työväenopistot. Kansankorkeakoulut"
185.4,Opintokerhotoiminta
185.7,Muut yleisen sivistystyön muodot
185.8,Nuorisotyö
187,Ammatinvalinta
188,Itsekasvatus. Itseopiskelu
188.1,Elämänohjeet
188.4,Itseopiskelu. Opiskelutekniikka
189,Kasvatuksen ja kasvatustieteen historia
190,RAJATIETO
191,Parapsykologia
192,Okkultismi. Spiritismi. Henkimaailma
192.1,Astrologia. Horoskoopit
192.2,Unikirjat
193,Kuolemakokemukset
2,RUOTSINKIELINEN KAUNOKIRJALLISUUS (Kaunoluokka)
2.1,Ruotsinkieliset kansanrunot (Kaunoluokka)
2.2,Ruotsinkieliset runot (Kaunoluokka)
2.3,Ruotsinkieliset näytelmät ja kuunnelmat (Kaunoluokka)
2.4,"Ruotsinkieliset romaanit, novellit ja näytelmäelokuvat (Kaunoluokka)"
2.5,Ruotsinkielinen murrekirjallisuus (Kaunoluokka)
